"year","month","day","line","ridership"
2020,3,19,"Green",-45.47315110715335
2020,3,20,"Green",-52.58637715541168
2020,3,21,"Green",-55.003521382160045
2020,3,22,"Green",-57.412340819362925
2020,3,23,"Green",-59.827874641307744
2020,3,24,"Green",-66.3342003303517
2020,3,25,"Green",-73.18812996830297
2020,3,26,"Green",-79.60584100616221
2020,3,27,"Green",-84.43904097354668
2020,3,28,"Green",-85.74023167556258
2020,3,29,"Green",-86.93511177485065
2020,3,30,"Green",-88.13214629679636
2020,3,31,"Green",-89.85911384249279
2020,4,1,"Green",-90.86597230170538
2020,4,2,"Green",-91.75081407191234
2020,4,3,"Green",-92.40940159512161
2020,4,4,"Green",-92.66729824249396
2020,4,5,"Green",-92.89078966511958
2020,4,6,"Green",-93.11529101892411
2020,4,7,"Green",-93.45975676382953
2020,4,8,"Green",-93.79213597918908
2020,4,9,"Green",-93.96576371334825
2020,4,10,"Green",-94.15192657417673
2020,4,11,"Green",-94.29682975105362
2020,4,12,"Green",-94.37535612059405
2020,4,13,"Green",-94.45415597839798
2020,4,14,"Green",-94.57777300672495
2020,4,15,"Green",-94.74782396711157
2020,4,16,"Green",-94.8609628610729
2020,4,17,"Green",-94.91387693952112
2020,4,18,"Green",-94.9814873401093
2020,4,19,"Green",-94.99918071173806
2020,4,20,"Green",-95.01696526628092
2020,4,21,"Green",-95.05525627583548
2020,4,22,"Green",-95.1582448812625
2020,4,23,"Green",-95.16204715155612
2020,4,24,"Green",-95.2186419705841
2020,4,25,"Green",-95.22685289351493
2020,4,26,"Green",-95.23543816013532
2020,4,27,"Green",-95.24407633024845
2020,4,28,"Green",-95.14887544313933
2020,4,29,"Green",-95.13884270214953
2020,4,30,"Green",-95.10810738038181
2020,5,1,"Green",-95.04349116367429
2020,5,2,"Green",-95.0433624628667
2020,5,3,"Green",-95.01451597119276
2020,5,4,"Green",-94.9853876142913
2020,5,5,"Green",-94.86150731168486
2020,5,6,"Green",-94.81804278831133
2020,5,7,"Green",-94.71158117304242
2020,5,8,"Green",-94.59819966077325
2020,5,9,"Green",-94.54039223381113
2020,5,10,"Green",-94.49823752327131
2020,5,11,"Green",-94.45560603509001
2020,5,12,"Green",-94.33082805075405
2020,5,13,"Green",-94.28495831266817
2020,5,14,"Green",-94.2342719349096
2020,5,15,"Green",-94.10425998547068
2020,5,16,"Green",-94.05223507344856
2020,5,17,"Green",-93.95165438287272
2020,5,18,"Green",-93.85028534353519
2020,5,19,"Green",-93.57726030786877
2020,5,20,"Green",-93.32240880165641
2020,5,21,"Green",-93.06236603088624
2020,5,22,"Green",-92.74378395253731
2020,5,23,"Green",-92.71212510403866
2020,5,24,"Green",-92.64841468286433
2020,5,25,"Green",-92.5830915826471
2020,5,26,"Green",-92.18426519692835
2020,5,27,"Green",-91.9558220694449
2020,5,28,"Green",-91.72861758769344
2020,5,29,"Green",-91.34079316752995
2020,5,30,"Green",-91.28304217526203
2020,5,31,"Green",-91.20558193239503
2020,6,1,"Green",-91.12732481911328
2020,6,2,"Green",-91.13282398780694
2020,6,3,"Green",-91.15970228291867
2020,6,4,"Green",-91.2727171502987
2020,6,5,"Green",-91.40208574739282
2020,6,6,"Green",-91.51984871302989
2020,6,7,"Green",-91.55216827877668
2020,6,8,"Green",-91.584272814835
