servicedate,stationname,validations
1/10/2018,Green Street,2806
1/10/2018,Harvard,17218
1/10/2018,Haymarket,9478
1/10/2018,Hynes Convention Center,6061
1/10/2018,Jackson Square,5324
1/10/2018,JFK/Umass,5866
1/10/2018,Kendall/MIT,16689
1/10/2018,Kenmore,4826
1/10/2018,Lechmere,5620
1/10/2018,Malden Center,11103
1/10/2018,Massachusetts Ave.,5514
1/10/2018,Maverick,10412
1/10/2018,North Quincy,8585
1/10/2018,North Station,14419
1/10/2018,Oak Grove,6466
1/10/2018,Orient Heights,3976
1/10/2018,Park Street,15483
1/10/2018,Porter,8003
1/10/2018,Prudential,3020
1/10/2018,Quincy Adams,4266
1/10/2018,Quincy Center,7957
1/10/2018,Revere Beach,2861
1/10/2018,Riverside,1335
1/10/2018,Roxbury Crossing,4566
1/10/2018,Ruggles,10342
1/10/2018,Savin Hill,2175
1/10/2018,Science Park,641
1/10/2018,Shawmut,2211
1/10/2018,South Station,24935
1/10/2018,State Street,14073
1/10/2018,Stony Brook,3388
1/10/2018,Suffolk Downs,422
1/10/2018,Sullivan Square,8426
1/10/2018,Symphony,1580
1/10/2018,Tufts Medical Center,6423
1/10/2018,Wellington,6909
1/10/2018,Wonderland,6639
1/10/2018,Wood Island,2069
1/10/2018,World Trade Center,823
1/11/2018,Airport,6336
1/11/2018,Alewife,11692
1/11/2018,Andrew,5837
1/11/2018,Aquarium,4490
1/11/2018,Arlington,6883
1/11/2018,Ashmont,8900
1/11/2018,Assembly,3089
1/11/2018,Back Bay,15993
1/11/2018,Beachmont,3073
1/11/2018,Bowdoin,2123
1/11/2018,Boylston,4204
1/11/2018,Braintree,4231
1/11/2018,Broadway,6379
1/11/2018,Central,15315
1/11/2018,Charles MGH,10181
1/11/2018,Chinatown,5642
1/11/2018,Community College,3249
1/11/2018,Copley,11997
1/11/2018,Courthouse,1963
1/11/2018,Davis,11841
1/11/2018,Downtown Crossing,24753
1/11/2018,Fields Corner,4482
1/11/2018,Forest Hills,13043
1/11/2018,Government Center,6852
1/11/2018,Green Street,3448
1/11/2018,Harvard,17579
1/11/2018,Haymarket,10255
1/11/2018,Hynes Convention Center,6618
1/11/2018,Jackson Square,5374
1/11/2018,JFK/Umass,6159
1/11/2018,Kendall/MIT,16537
1/11/2018,Kenmore,6329
1/11/2018,Lechmere,5675
1/11/2018,Malden Center,11081
1/11/2018,Massachusetts Ave.,5750
1/11/2018,Maverick,10511
1/11/2018,North Quincy,9219
1/11/2018,North Station,14520
1/11/2018,Oak Grove,6544
1/11/2018,Orient Heights,4169
1/11/2018,Park Street,16628
1/11/2018,Porter,8297
1/11/2018,Prudential,3034
1/11/2018,Quincy Adams,4554
1/11/2018,Quincy Center,8044
1/11/2018,Revere Beach,2937
1/11/2018,Riverside,1510
1/11/2018,Roxbury Crossing,4838
1/11/2018,Ruggles,10409
1/11/2018,Savin Hill,2251
1/11/2018,Science Park,714
1/11/2018,Shawmut,2240
1/11/2018,South Station,24967
1/11/2018,State Street,13388
1/11/2018,Stony Brook,3450
1/11/2018,Suffolk Downs,422
1/11/2018,Sullivan Square,8502
1/11/2018,Symphony,1695
1/11/2018,Tufts Medical Center,6368
1/11/2018,Wellington,7020
1/11/2018,Wonderland,6662
1/11/2018,Wood Island,2143
1/11/2018,World Trade Center,891
1/12/2018,Airport,6367
1/12/2018,Alewife,10680
1/12/2018,Andrew,5720
1/12/2018,Aquarium,4136
1/12/2018,Arlington,6537
1/12/2018,Ashmont,8284
1/12/2018,Assembly,2697
1/12/2018,Back Bay,15270
1/12/2018,Beachmont,2921
1/12/2018,Bowdoin,1833
1/12/2018,Boylston,4653
1/12/2018,Braintree,3703
1/12/2018,Broadway,5721
1/12/2018,Central,13616
1/12/2018,Charles MGH,9872
1/12/2018,Chinatown,5896
1/12/2018,Community College,2856
1/12/2018,Copley,11027
1/12/2018,Courthouse,2136
1/12/2018,Davis,11003
1/12/2018,Downtown Crossing,23041
1/12/2018,Fields Corner,4746
1/12/2018,Forest Hills,12694
1/12/2018,Government Center,6523
1/12/2018,Green Street,2849
1/12/2018,Harvard,17221
1/12/2018,Haymarket,11210
1/12/2018,Hynes Convention Center,6063
1/12/2018,Jackson Square,4785
1/12/2018,JFK/Umass,5779
1/12/2018,Kendall/MIT,15224
1/12/2018,Kenmore,6432
1/12/2018,Lechmere,5370
1/12/2018,Malden Center,10435
1/12/2018,Massachusetts Ave.,5627
1/12/2018,Maverick,10303
